rE	rG	T	time_E	gctime_E	memory_E	allocs_E	time_G	gctime_G	memory_G	allocs_G	float	alg_ix	m	n	seed	λ	Ω	Δ	kmax_rE	kmax_rG
2048	2048	1.0	1.2408953e7	0.0	9261696	120894	7.2174808e7	2.984499e6	49912672	694384	1	1	2	1	1	1.0	0.12566370614359174	4.71238898038469	1	1
2048	2048	1.0	1.95873e7	0.0	12015552	120894	1.09044895e8	2.607556e6	63676608	694384	1	1	3	1	1	1.0	0.12566370614359174	4.71238898038469	1	1
2048	2048	1.0	2.1977984e7	0.0	18015024	233589	1.28431504e8	5.971522e6	98842160	1360089	1	1	2	2	1	1.0	0.12566370614359174	4.71238898038469	1	1
2048	2048	1.0	3.2799454e7	0.0	26801136	346284	2.0127528e8	9.195808e6	151803696	2083162	1	1	2	3	1	1.0	0.12566370614359174	4.71238898038469	1	1
2048	2048	1.0	3.4876624e7	0.0	23522736	233589	1.94336335e8	7.593627e6	127812240	1368281	1	1	3	2	1	1.0	0.12566370614359174	4.71238898038469	1	1
2048	2048	1.0	4.4076927e7	0.0	35751072	461027	2.76257463e8	1.2439189e7	205979136	2841075	1	1	2	4	1	1.0	0.12566370614359174	4.71238898038469	1	1
2048	2048	1.0	5.2474569e7	0.0	35062704	346284	2.99980449e8	1.0332666e7	194276624	2074970	1	1	3	3	1	1.0	0.12566370614359174	4.71238898038469	1	1
2048	2048	1.0	5.5489168e7	0.0	44504496	573723	3.52990521e8	1.5076138e7	266383152	3682991	1	1	2	5	1	1.0	0.12566370614359174	4.71238898038469	1	1
2048	2048	1.0	7.4873468e7	2.754964e6	53487120	688465	4.89868194e8	2.1309776e7	324919440	4518765	1	1	2	6	1	1.0	0.12566370614359174	4.71238898038469	1	1
2048	2048	1.0	7.9005289e7	2.510044e6	46897728	463077	4.50064684e8	1.6286475e7	269035552	2892293	1	1	3	4	1	1.0	0.12566370614359174	4.71238898038469	1	1
2048	2048	1.0	9.1956775e7	2.953905e6	62076624	799112	6.44846937e8	2.5653579e7	388833360	5428302	1	1	2	7	1	1.0	0.12566370614359174	4.71238898038469	1	1
2048	2048	1.0	1.18645684e8	2.395631e6	58109856	571674	6.8897603e8	1.8437556e7	339307904	3652260	1	1	3	5	1	1.0	0.12566370614359174	4.71238898038469	1	1
2048	2048	1.0	1.27256383e8	3.042912e6	70633344	909759	9.51160321e8	2.989954e7	455076928	6387015	1	1	2	8	1	1.0	0.12566370614359174	4.71238898038469	1	1
2048	2048	1.0	2.09192249e8	4.492335e6	80107920	1024503	1.653463346e9	3.0970986e7	529387568	7415385	1	1	2	9	1	1.0	0.12566370614359174	4.71238898038469	1	1
2048	2048	1.0	3.84086956e8	0.0	69813648	686417	1.917614301e9	3.9641722e7	417949392	4524909	1	1	3	6	1	1.0	0.12566370614359174	4.71238898038469	1	1
2048	2048	1.0	1.100194478e9	0.0	88861248	1137198	5.661257361e9	7.4008055e7	602068800	8478594	1	1	2	10	1	1.0	0.12566370614359174	4.71238898038469	1	1
2048	2048	1.0	5.228802208e9	0.0	97843968	1251941	2.186250327e10	0.0	677553312	9580741	1	1	2	11	1	1.0	0.12566370614359174	4.71238898038469	1	1
2048	2048	1.0	5.614673321e9	0.0	81484848	801162	1.8803102375e10	0.0	505440656	5508206	1	1	3	7	1	1.0	0.12566370614359174	4.71238898038469	1	1
